CODE,NAME,MODE,SIZE,TIME
61,ADC,indX,2,6
71,ADC,indY,2,5
65,ADC,zpg,2,3
75,ADC,zpgX,2,4
69,ADC,imm,2,2
79,ADC,absY,3,4
6D,ADC,abs,3,4
7D,ADC,absX,3,4
21,AND,indX,2,6
31,AND,indY,2,5
25,AND,zpg,2,3
35,AND,zpgX,2,4
29,AND,imm,2,2
39,AND,absY,3,4
2D,AND,abs,3,4
3D,AND,absX,3,4
06,ASL,zpg,2,5
16,ASL,zpgX,2,6
0A,ASL,A,1,2
0E,ASL,abs,3,6
1E,ASL,absX,3,7
90,BCC,rel,2,2
B0,BCS,rel,2,2
F0,BEQ,rel,2,2
24,BIT,zpg,2,3
2C,BIT,abs,3,4
30,BMI,rel,2,2
D0,BNE,rel,2,2
10,BPL,rel,2,2
00,BRK,impl,1,7
50,BVC,rel,2,2
70,BVS,rel,2,2
18,CLC,impl,1,2
D8,CLD,impl,1,2
58,CLI,impl,1,2
B8,CLV,impl,1,2
C1,CMP,indX,2,6
D1,CMP,indY,2,5
C5,CMP,zpg,2,3
D5,CMP,zpgX,2,4
C9,CMP,imm,2,2
D9,CMP,absY,3,4
CD,CMP,abs,3,4
DD,CMP,absX,3,4
E0,CPX,imm,2,2
E4,CPX,zpg,2,3
EC,CPX,abs,3,4
C0,CPY,imm,2,2
C4,CPY,zpg,2,3
CC,CPY,abs,3,4
C6,DEC,zpg,2,5
D6,DEC,zpgX,2,6
CE,DEC,abs,3,6
DE,DEC,absX,3,7
CA,DEX,impl,1,2
88,DEY,impl,1,2
41,EOR,indX,2,6
51,EOR,indY,2,5
45,EOR,zpg,2,3
55,EOR,zpgX,2,4
49,EOR,imm,2,2
59,EOR,absY,3,4
4D,EOR,abs,3,4
5D,EOR,absX,3,4
E6,INC,zpg,2,5
F6,INC,zpgX,2,6
EE,INC,abs,3,6
FE,INC,absX,3,7
E8,INX,impl,1,2
C8,INY,impl,1,2
4C,JMP,abs,3,3
6C,JMP,ind,3,5
20,JSR,abs,3,6
A1,LDA,indX,2,6
B1,LDA,indY,2,5
A5,LDA,zpg,2,3
B5,LDA,zpgX,2,4
A9,LDA,imm,2,2
B9,LDA,absY,3,4
AD,LDA,abs,3,4
BD,LDA,absX,3,4
A2,LDX,imm,2,2
A6,LDX,zpg,2,3
B6,LDX,zpgY,2,4
AE,LDX,abs,3,4
BE,LDX,absY,3,4
A0,LDY,imm,2,2
A4,LDY,zpg,2,3
B4,LDY,zpgX,2,4
AC,LDY,abs,3,4
BC,LDY,absX,3,4
46,LSR,zpg,2,5
56,LSR,zpgX,2,6
4A,LSR,A,1,2
4E,LSR,abs,3,6
5E,LSR,absX,3,7
EA,NOP,impl,1,2
01,ORA,indX,2,6
11,ORA,indY,2,5
05,ORA,zpg,2,3
15,ORA,zpgX,2,4
09,ORA,imm,2,2
19,ORA,absY,3,4
0D,ORA,abs,3,4
1D,ORA,absX,3,4
48,PHA,impl,1,3
08,PHP,impl,1,3
68,PLA,impl,1,4
28,PLP,impl,1,4
26,ROL,zpg,2,5
36,ROL,zpgX,2,6
2A,ROL,A,1,2
2E,ROL,abs,3,6
3E,ROL,absX,3,7
66,ROR,zpg,2,5
76,ROR,zpgX,2,6
6A,ROR,A,1,2
6E,ROR,abs,3,6
7E,ROR,absX,3,7
40,RTI,impl,1,6
60,RTS,impl,1,6
E1,SBC,indX,2,6
F1,SBC,indY,2,5
E5,SBC,zpg,2,3
F5,SBC,zpgX,2,4
E9,SBC,imm,2,2
F9,SBC,absY,3,4
ED,SBC,abs,3,4
FD,SBC,absX,3,4
38,SEC,impl,1,2
F8,SED,impl,1,2
78,SEI,impl,1,2
81,STA,indX,2,6
91,STA,indY,2,6
85,STA,zpg,2,3
95,STA,zpgX,2,4
99,STA,absY,3,5
8D,STA,abs,3,4
9D,STA,absX,3,5
86,STX,zpg,2,3
96,STX,zpgY,2,4
8E,STX,abs,3,4
84,STY,zpg,2,3
94,STY,zpgX,2,4
8C,STY,abs,3,4
AA,TAX,impl,1,2
A8,TAY,impl,1,2
BA,TSX,impl,1,2
8A,TXA,impl,1,2
9A,TXS,impl,1,2
98,TYA,impl,1,2
